Source;Target;Weight;Type;Category
2187848597897216125;0;69988.7419703873;"undirected";u2l_1
2258952410628096538;1;69988.7419703873;"undirected";u2l_1
1804048307060736245;2;69988.7419703873;"undirected";u2l_1
1772001962229760632;3;69988.7419703873;"undirected";u2l_1
2282492379791360175;4;69988.7419703873;"undirected";u2l_1
1076862696554496414;5;69988.7419703873;"undirected";u2l_1
2094532380327936649;6;69988.7419703873;"undirected";u2l_1
2388115188613120734;7;69988.7419703873;"undirected";u2l_1
2041710506934272606;8;69988.7419703873;"undirected";u2l_1
2100914047418368785;4;69988.7419703873;"undirected";u2l_1
2027182855553024967;9;69988.7419703873;"undirected";u2l_1
2166348922748928265;10;69988.7419703873;"undirected";u2l_1
2379941303812096561;11;69988.7419703873;"undirected";u2l_1
2047975656259584646;12;69988.7419703873;"undirected";u2l_1
2459124000358400857;13;69988.7419703873;"undirected";u2l_1
2385280711524352742;14;69988.7419703873;"undirected";u2l_1
1764682062888960371;15;69988.7419703873;"undirected";u2l_1
2246440977956864701;16;69988.7419703873;"undirected";u2l_1
1884421313527808706;17;69988.7419703873;"undirected";u2l_1
2247600786898944714;18;69988.7419703873;"undirected";u2l_1
1715963166720000857;19;69988.7419703873;"undirected";u2l_1
1627636417691648960;20;69988.7419703873;"undirected";u2l_1
2012670756651008082;21;69988.7419703873;"undirected";u2l_1
2284324250451968253;22;69988.7419703873;"undirected";u2l_1
2164085558870016400;23;69988.7419703873;"undirected";u2l_1
2410156516179968899;24;69988.7419703873;"undirected";u2l_1
2293213960339456129;25;69988.7419703873;"undirected";u2l_1
2008117973876736667;26;69988.7419703873;"undirected";u2l_1
1836369957617664968;27;69988.7419703873;"undirected";u2l_1
2361789580836864443;11;69988.7419703873;"undirected";u2l_1
2392980958740480016;28;69988.7419703873;"undirected";u2l_1
1573945333514240407;29;69988.7419703873;"undirected";u2l_1
2476654874066944333;30;69988.7419703873;"undirected";u2l_1
2297484969771008170;31;69988.7419703873;"undirected";u2l_1
1813129604366336745;32;69988.7419703873;"undirected";u2l_1
2111816763179008117;33;69988.7419703873;"undirected";u2l_1
2056194017460224508;34;69988.7419703873;"undirected";u2l_1
