Id;Label;NumTransactions;Type;Latitude;Longitude
0;South Bend, Indiana;2;Location;41.6833813;-86.2500066
1;Habersham, Georgia;1;Location;33.8792694;-84.2396434
2;Jucuapa, Usulutan, El Salvador;1;Location;13.5139331;-88.3846805
3;Kennesaw, Georgia;1;Location;34.0234337;-84.6154897
4;Houston, Texas;13;Location;29.7589382;-95.3676974
5;Stowe, Vermont;1;Location;44.4653741;-72.6860186
6;Westminster, Colorado;1;Location;39.8366528;-105.0372046
7;San Clemente, California;1;Location;33.4270275;-117.6124179
8;Jacksonville Beach, Florida;1;Location;30.2946859;-81.3931396
9;London, United Kingdom;20;Location;51.5073219;-0.1276474
10;Millbury, Massachusetts;1;Location;42.1968504;-71.7681182
11;Oxford, Mississippi;2;Location;34.3664127;-89.5187664
12;North Andover, Massachusetts;1;Location;42.6839894;-71.1127065
13;Irapuato;1;Location;20.6758761;-101.3521052
14;Jacksonville, Florida;1;Location;30.3321838;-81.655651
15;Massapequa, New York;1;Location;40.6695725;-73.46977010202824
16;Miami, Florida;21;Location;25.7741728;-80.19362
17;San Francisco, California;4;Location;37.7790262;-122.4199061
18;San Diego, California;12;Location;32.7174202;-117.1627728
19;Atlanta, Georgia;8;Location;33.7489924;-84.3902644
20;Sungai Pelek;1;Location;2.6449074;101.7170375
21;Kenosha;1;Location;42.5846773;-87.8212263
22;Philadelphia, Pennsylvania;2;Location;39.9527237;-75.1635262
23;La Libertad, Chontales;1;Location;12.2152402;-85.1649967
24;Rosemead, California;1;Location;34.0676169;-118.0879763
25;Hyannis, Massachusetts;1;Location;41.651513;-70.2825918
26;Annapolis, Maryland;1;Location;38.9786401;-76.492786
27;New York, New York;18;Location;40.7127281;-74.0060152
28;Norwalk, Connecticut;1;Location;41.095844;-73.42053374386504
29;Washington D.C.;12;Location;38.8949924;-77.0365581
30;Dayton, Ohio;4;Location;39.7589478;-84.1916069
31;Glastonbury, Somerset, United Kingdom;1;Location;51.14804;-2.716577
32;Memphis, Tennessee;3;Location;35.1490215;-90.0516285
33;Whitehouse, Texas;1;Location;32.2268666;-95.2259279
34;Richardson, Texas;1;Location;32.9481789;-96.7297206
35;Fort Worth, Texas;1;Location;32.753177;-97.3327459
36;Orange, California;15;Location;33.7500378;-117.8704931
37;Newport Beach, California;1;Location;33.6170092;-117.9294401
38;Lincoln, Nebraska;7;Location;40.8088861;-96.7077751
39;North Salt Lake, Utah;1;Location;40.8485564;-111.9068824
40;Nesquehoning, Pennsylvania;1;Location;40.864534;-75.8110277
41;Potomac, Maryland;2;Location;39.017936;-77.2094542
42;Scottsdale, Arizona;2;Location;33.4942189;-111.9260184
43;Chapel Hill, North Carolina;1;Location;35.9131542;-79.05578
44;Madison, Mississippi;1;Location;32.4618086;-90.1153638
45;Norman, Oklahoma;3;Location;35.2225717;-97.4394816
46;Bloomfield Hills, Michigan;1;Location;42.583645;-83.2454883
47;Charleston, South Carolina;5;Location;32.7876012;-79.9402728
48;Pittsburgh, Pennsylvania;4;Location;40.4416941;-79.9900861
49;Portland, Tennessee;1;Location;36.5817089;-86.5163833
50;Winfield, Illinois;1;Location;41.8616956;-88.1609031
51;Mesa, Arizona;3;Location;33.4151117;-111.8314792
52;Gig Harbor, Washington;1;Location;47.3259697;-122.5878659
53;Bellevue, Ohio;1;Location;41.2736163;-82.8409057
54;Beverly Hills, California;1;Location;34.0696501;-118.3963062
55;Boardman, Ohio;1;Location;41.024597400000005;-80.65752960822488
56;Los Angeles, California;5;Location;34.0536909;-118.242766
57;Sacramento, California;2;Location;38.5810606;-121.4938951
58;Grand Haven, Michigan;1;Location;43.0630734;-86.2283864
59;Marshfield, Massachusetts;1;Location;42.091769;-70.7055941
60;St. George, Utah;1;Location;37.104153;-113.5841313
61;Novi, Michigan;1;Location;42.48059;-83.4754913
62;Birmingham, Alabama;1;Location;33.5206824;-86.8024326
63;Minneapolis, Minnesota;2;Location;44.9772995;-93.2654692
64;Orlando, Florida;4;Location;28.5421109;-81.3790304
65;Boston, Massachusetts;35;Location;42.3602534;-71.0582912
66;Santa Maria, California;1;Location;34.9531295;-120.4358577
67;Nancy;4;Location;48.6937223;6.1834097
68;Anna;9;Location;39.0204311;-0.6461361
69;Crema;3;Location;45.362828;9.6874573
70;Jersey;154;Location;49.2214561;-2.1358386
71;Vasa;1;Location;63.081820949999994;21.479812522296804
72;Green;47;Location;10.7226226;-10.7083587
73;Canada;9;Location;61.0666922;-107.9917071
74;Baltimore;30;Location;39.2908816;-76.610759
75;Sanger;1;Location;33.3631706;-97.1739028
76;Bar;85;Location;48.4088704;7.4492808
77;Chandler;1;Location;33.3061605;-111.84125
78;Elmhurst;1;Location;41.8994745;-87.9403418
79;Colton;4;Location;34.0739016;-117.3136547
80;Clinton;2;Location;38.5896187;-89.420064
81;Roy;2;Location;41.1617999;-112.0261903
82;Taylor;19;Location;32.2793121;-99.8812612
83;Much;19;Location;50.9044492;7.4017528
84;Brent;2;Location;32.9373463;-87.1647184
85;Bali;45;Location;48.8566969;2.3514616
86;Palm;4;Location;40.4281539;-75.5329608
87;Campbell;4;Location;37.2870626;-121.9448818
88;Cooper;6;Location;38.8452595;-92.8249579
89;Bahamas;7;Location;24.7736546;-78.0000547
90;Murphy;4;Location;33.0151208;-96.6130478
91;Bangladesh;1;Location;24.4768783;90.2932426
92;Police;1;Location;53.5486435;14.5657399
93;Granite;1;Location;46.3944149;-113.4687025
94;Sunrise;3;Location;26.1666888;-80.2787573
95;Whitney;5;Location;40.73964505;-74.00892095028976
96;Tucker;4;Location;33.85162905;-84.22374316732959
97;Jackson;8;Location;32.2990384;-90.1847691
98;Nice;84;Location;43.7009358;7.2683912
99;Kyle;21;Location;29.9892928;-97.8772103
100;Wedding;44;Location;52.550123;13.34197
101;Retreat;153;Location;39.9165031;-74.7126592
102;Carson;9;Location;35.3636563;-101.3353895
103;Parker;9;Location;32.7599475;-97.7935767
104;Ho;7;Location;27.7198095;56.335807
105;Victoria;15;Location;-36.5986096;144.6780052
106;Santa Monica;1;Location;34.0194704;-118.4912273
107;Chongqing;1;Location;29.5647398;106.5478767
108;Cary;1;Location;35.7882893;-78.7812081
109;France;2;Location;46.603354;1.8883335
110;Fresno;2;Location;36.7394421;-119.7848307
111;Perm;3;Location;58.5951603;56.3159546
112;Gilbert;3;Location;33.3527632;-111.7890373
113;Barcelona;15;Location;41.3828939;2.1774322
114;Young;9;Location;33.1508315;-98.6962766
115;Jordan;12;Location;31.1667049;36.941628
116;David;25;Location;8.4949423;-82.48261591569641
117;Uganda;4;Location;1.5333554;32.2166578
118;Cayenne;3;Location;4.9371143;-52.3258307
119;Boo;30;Location;59.3205986;18.2613337
120;Moscow;10;Location;55.7504461;37.6174943
121;Harvey;5;Location;38.0352315;-97.4486267
122;Best;79;Location;51.510017;5.398661990056466
123;Moe;6;Location;38.7604815;-92.5617875
124;Temple;3;Location;31.098207;-97.3427847
125;Croatia;7;Location;45.5643442;17.0118954
126;Tequila;58;Location;18.74948385;-96.99789458624971
127;Corona;16;Location;33.8752945;-117.5664449
128;Bama;8;Location;12.0388818;-4.4025334
129;Deal;5;Location;51.2239544;1.4027344
130;Thailand;13;Location;14.8971921;100.83273
131;Shirley;2;Location;40.796841650000005;-72.87000485081444
132;Mentor;2;Location;41.6661573;-81.339552
133;Brad;5;Location;46.1302414;22.7921521
134;Salerno;2;Location;40.419441649999996;15.310756230322482
135;Tyler;20;Location;32.3512601;-95.3010624
136;Mexico;17;Location;22.5000485;-100.0000375
137;Mason;8;Location;30.705029;-99.2233284
138;Colombia;5;Location;2.8894434;-73.783892
139;Surprise;13;Location;33.6292271;-112.3680189
140;Wilson;8;Location;29.1589961;-98.1251465
141;Bear;12;Location;48.6298618;-3.3007868
142;Spring;12;Location;30.0798826;-95.4172549
143;Austin;24;Location;30.2711286;-97.7436995
144;Greece;32;Location;38.9953683;21.9877132
145;China;15;Location;35.000074;104.999927
146;Buffalo;7;Location;42.8867166;-78.8783922
147;Lens;10;Location;50.4291723;2.8319805
148;Buy;62;Location;58.4816821;41.532956
149;Monroe;4;Location;38.2722313;-90.1792484
150;Davis;5;Location;40.7474784;-92.3965311
